路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.309,0.493,0.448
路径1,53,0.289,0.476,0.429
路径1,79,0.279,0.386,0.218
路径1,106,0.255,0.409,0.151
路径1,132,0.257,0.274,0.193
路径1,158,0.318,0.14,0.149
路径1,184,0.212,0.058,0.092
路径1,211,0.167,0.03,0.16
路径1,237,0.073,0.035,0.155
路径1,263,0.031,0.002,0.208
路径1,289,0.064,0.012,0.138
路径1,316,0.032,0.006,0.156
路径1,342,0.032,0,0.149
路径1,368,0.052,0,0.114
路径1,394,0.014,0,0.253
路径1,421,0.03,0,0.111
路径1,447,0.001,0,0.089
路径1,473,0,0,0.075
路径1,500,0,0,0.056
路径2,1,0.5,0.5,0.5
路径2,27,0.483,0.466,0.526
路径2,53,0.442,0.4,0.316
路径2,79,0.347,0.356,0.319
路径2,106,0.213,0.32,0.31
路径2,132,0.206,0.336,0.247
路径2,158,0.13,0.367,0.189
路径2,184,0.143,0.405,0.102
路径2,211,0.108,0.282,0.115
路径2,237,0.095,0.278,0.066
路径2,263,0.133,0.213,0.019
路径2,289,0.174,0.229,0.016
路径2,316,0.169,0.15,0
路径2,342,0.085,0.199,0
路径2,368,0.1,0.146,0
路径2,394,0.147,0.062,0
路径2,421,0.105,0.062,0
路径2,447,0.025,0.032,0
路径2,473,0.07,0.003,0
路径2,500,0.067,0,0
路径3,1,0.5,0.5,0.5
路径3,27,0.526,0.499,0.628
路径3,53,0.398,0.565,0.581
路径3,79,0.513,0.545,0.525
路径3,106,0.474,0.562,0.279
路径3,132,0.387,0.504,0.149
路径3,158,0.377,0.449,0.143
路径3,184,0.326,0.394,0.121
路径3,211,0.319,0.365,0.109
路径3,237,0.284,0.275,0.047
路径3,263,0.493,0.259,0.069
路径3,289,0.413,0.241,0.029
路径3,316,0.427,0.137,0.039
路径3,342,0.413,0.116,0.063
路径3,368,0.308,0.038,0.058
路径3,394,0.377,0.036,0.023
路径3,421,0.427,0,0.023
路径3,447,0.44,0,0.014
路径3,473,0.433,0,0.074
路径3,500,0.407,0,0.018
路径4,1,0.5,0.5,0.5
路径4,27,0.397,0.505,0.566
路径4,53,0.356,0.429,0.483
路径4,79,0.202,0.435,0.332
路径4,106,0.123,0.267,0.175
路径4,132,0.106,0.25,0.303
路径4,158,0.115,0.266,0.246
路径4,184,0.067,0.158,0.199
路径4,211,0.142,0.087,0.082
路径4,237,0.154,0.101,0.035
路径4,263,0.171,0.058,0.043
路径4,289,0.16,0.041,0.01
路径4,316,0.113,0.046,0
路径4,342,0.173,0.05,0
路径4,368,0.135,0.044,0
路径4,394,0.129,0.006,0
路径4,421,0.139,0,0
路径4,447,0.099,0,0
路径4,473,0.167,0,0
路径4,500,0.117,0,0
路径5,1,0.5,0.5,0.5
路径5,27,0.501,0.457,0.393
路径5,53,0.365,0.547,0.305
路径5,79,0.228,0.475,0.197
路径5,106,0.233,0.375,0.191
路径5,132,0.207,0.2,0.058
路径5,158,0.204,0.1,0.071
路径5,184,0.187,0.09,0.03
路径5,211,0.185,0.109,0.014
路径5,237,0.215,0.187,0
路径5,263,0.152,0.16,0
路径5,289,0.063,0.176,0
路径5,316,0.052,0.125,0
路径5,342,0.061,0.057,0
路径5,368,0.074,0.005,0
路径5,394,0.159,0,0
路径5,421,0.258,0,0
路径5,447,0.255,0,0
路径5,473,0.176,0,0
路径5,500,0.1,0,0
路径6,1,0.5,0.5,0.5
路径6,27,0.359,0.476,0.368
路径6,53,0.162,0.352,0.267
路径6,79,0.08,0.222,0.285
路径6,106,0.074,0.214,0.228
路径6,132,0.147,0.232,0.13
路径6,158,0.153,0.156,0.075
路径6,184,0.114,0.206,0.02
路径6,211,0.126,0.143,0
路径6,237,0.027,0.101,0
路径6,263,0.009,0.058,0
路径6,289,0,0.028,0
路径6,316,0,0,0
路径6,342,0,0,0
路径6,368,0,0,0
路径6,394,0,0,0
路径6,421,0,0,0
路径6,447,0,0,0
路径6,473,0,0,0
路径6,500,0,0,0
路径7,1,0.5,0.5,0.5
路径7,27,0.476,0.416,0.459
路径7,53,0.429,0.298,0.371
路径7,79,0.43,0.299,0.293
路径7,106,0.489,0.134,0.217
路径7,132,0.558,0.188,0.088
路径7,158,0.457,0.158,0.091
路径7,184,0.429,0.226,0.008
路径7,211,0.254,0.106,0.003
路径7,237,0.431,0.087,0
路径7,263,0.535,0.052,0
路径7,289,0.567,0.044,0
路径7,316,0.532,0.025,0
路径7,342,0.458,0.024,0
路径7,368,0.381,0.034,0
路径7,394,0.529,0.01,0
路径7,421,0.563,0,0
路径7,447,0.527,0,0
路径7,473,0.513,0,0
路径7,500,0.525,0,0
路径8,1,0.5,0.5,0.5
路径8,27,0.482,0.548,0.447
路径8,53,0.423,0.434,0.367
路径8,79,0.343,0.407,0.293
路径8,106,0.284,0.362,0.194
路径8,132,0.261,0.268,0.162
路径8,158,0.107,0.259,0.084
路径8,184,0.138,0.29,0.057
路径8,211,0.024,0.266,0.042
路径8,237,0.005,0.134,0.029
路径8,263,0,0.116,0.004
路径8,289,0,0.017,0
路径8,316,0,0,0
路径8,342,0,0,0
路径8,368,0,0,0
路径8,394,0,0,0
路径8,421,0,0,0
路径8,447,0,0,0
路径8,473,0,0,0
路径8,500,0,0,0
路径9,1,0.5,0.5,0.5
路径9,27,0.431,0.38,0.492
路径9,53,0.438,0.31,0.434
路径9,79,0.407,0.264,0.462
路径9,106,0.328,0.264,0.325
路径9,132,0.393,0.251,0.235
路径9,158,0.449,0.202,0.152
路径9,184,0.343,0.15,0.161
路径9,211,0.198,0.01,0.132
路径9,237,0.093,0.002,0.09
路径9,263,0.072,0,0.098
路径9,289,0.137,0,0.093
路径9,316,0.168,0,0.045
路径9,342,0.112,0,0.03
路径9,368,0.167,0,0.024
路径9,394,0.132,0,0.049
路径9,421,0.163,0,0.063
路径9,447,0.19,0,0.009
路径9,473,0.315,0,0
路径9,500,0.31,0,0
路径10,1,0.5,0.5,0.5
路径10,27,0.456,0.494,0.321
路径10,53,0.349,0.339,0.32
路径10,79,0.258,0.424,0.263
路径10,106,0.131,0.427,0.154
路径10,132,0.04,0.425,0.231
路径10,158,0.024,0.34,0.138
路径10,184,0.007,0.189,0.093
路径10,211,0,0.161,0.077
路径10,237,0,0.067,0.05
路径10,263,0,0.043,0.055
路径10,289,0,0.008,0.008
路径10,316,0,0.008,0
路径10,342,0,0,0
路径10,368,0,0,0
路径10,394,0,0,0
路径10,421,0,0,0
路径10,447,0,0,0
路径10,473,0,0,0
路径10,500,0,0,0
路径11,1,0.5,0.5,0.5
路径11,27,0.527,0.398,0.539
路径11,53,0.446,0.361,0.512
路径11,79,0.578,0.25,0.452
路径11,106,0.637,0.279,0.386
路径11,132,0.505,0.278,0.381
路径11,158,0.51,0.239,0.296
路径11,184,0.546,0.138,0.24
路径11,211,0.378,0.137,0.204
路径11,237,0.424,0.165,0.125
路径11,263,0.366,0.187,0.084
路径11,289,0.44,0.045,0.083
路径11,316,0.487,0.028,0.103
路径11,342,0.49,0.038,0.065
路径11,368,0.45,0,0.104
路径11,394,0.517,0,0.085
路径11,421,0.519,0,0.087
路径11,447,0.493,0,0.135
路径11,473,0.562,0,0.088
路径11,500,0.566,0,0.057
路径12,1,0.5,0.5,0.5
路径12,27,0.381,0.48,0.484
路径12,53,0.521,0.402,0.308
路径12,79,0.392,0.451,0.362
路径12,106,0.233,0.381,0.316
路径12,132,0.277,0.309,0.321
路径12,158,0.302,0.208,0.272
路径12,184,0.384,0.249,0.182
路径12,211,0.291,0.156,0.255
路径12,237,0.258,0.225,0.168
路径12,263,0.144,0.205,0.099
路径12,289,0.105,0.064,0.055
路径12,316,0.033,0.078,0.069
路径12,342,0.022,0.053,0.142
路径12,368,0.021,0.012,0.117
路径12,394,0.039,0.003,0.096
路径12,421,0,0,0.093
路径12,447,0,0,0.108
路径12,473,0,0,0.07
路径12,500,0,0,0.073
路径13,1,0.5,0.5,0.5
路径13,27,0.312,0.388,0.401
路径13,53,0.303,0.344,0.316
路径13,79,0.246,0.329,0.26
路径13,106,0.158,0.197,0.225
路径13,132,0.085,0.192,0.208
路径13,158,0.089,0.188,0.147
路径13,184,0.125,0.192,0.191
路径13,211,0.098,0.211,0.135
路径13,237,0.049,0.101,0.061
路径13,263,0.027,0.122,0.045
路径13,289,0.022,0.069,0.092
路径13,316,0.013,0.127,0.069
路径13,342,0.018,0.05,0.031
路径13,368,0,0.016,0.03
路径13,394,0,0,0.048
路径13,421,0,0,0.051
路径13,447,0,0,0.038
路径13,473,0,0,0.008
路径13,500,0,0,0
路径14,1,0.5,0.5,0.5
路径14,27,0.399,0.522,0.483
路径14,53,0.233,0.584,0.377
路径14,79,0.165,0.496,0.312
路径14,106,0.228,0.335,0.261
路径14,132,0.272,0.321,0.26
路径14,158,0.254,0.263,0.217
路径14,184,0.406,0.3,0.205
路径14,211,0.327,0.252,0.257
路径14,237,0.302,0.196,0.226
路径14,263,0.342,0.179,0.203
路径14,289,0.363,0.187,0.164
路径14,316,0.38,0.142,0.08
路径14,342,0.307,0.055,0.074
路径14,368,0.282,0.033,0.063
路径14,394,0.331,0.052,0.042
路径14,421,0.373,0.027,0
路径14,447,0.281,0.029,0
路径14,473,0.168,0.076,0
路径14,500,0.233,0.062,0
路径15,1,0.5,0.5,0.5
路径15,27,0.48,0.4,0.434
路径15,53,0.39,0.376,0.421
路径15,79,0.425,0.334,0.383
路径15,106,0.477,0.24,0.324
路径15,132,0.58,0.196,0.308
路径15,158,0.548,0.094,0.204
路径15,184,0.589,0.075,0.188
路径15,211,0.532,0.056,0.165
路径15,237,0.488,0.065,0.179
路径15,263,0.422,0.024,0.087
路径15,289,0.39,0.018,0.062
路径15,316,0.351,0.016,0.062
路径15,342,0.246,0,0.042
路径15,368,0.276,0,0.022
路径15,394,0.271,0,0
路径15,421,0.284,0,0
路径15,447,0.354,0,0
路径15,473,0.465,0,0
路径15,500,0.555,0,0
路径16,1,0.5,0.5,0.5
路径16,27,0.397,0.506,0.398
路径16,53,0.325,0.395,0.234
路径16,79,0.401,0.393,0.09
路径16,106,0.457,0.281,0.128
路径16,132,0.41,0.166,0.156
路径16,158,0.314,0.107,0.117
路径16,184,0.323,0.095,0.122
路径16,211,0.317,0.02,0.04
路径16,237,0.292,0.008,0.031
路径16,263,0.32,0.003,0.022
路径16,289,0.335,0,0.013
路径16,316,0.356,0,0.03
路径16,342,0.198,0,0.009
路径16,368,0.108,0,0
路径16,394,0.142,0,0
路径16,421,0.192,0,0
路径16,447,0.364,0,0
路径16,473,0.364,0,0
路径16,500,0.363,0,0
路径17,1,0.5,0.5,0.5
路径17,27,0.465,0.444,0.317
路径17,53,0.522,0.421,0.268
路径17,79,0.54,0.425,0.26
路径17,106,0.63,0.273,0.307
路径17,132,0.505,0.237,0.238
路径17,158,0.477,0.228,0.082
路径17,184,0.484,0.275,0.083
路径17,211,0.464,0.207,0.138
路径17,237,0.429,0.165,0.188
路径17,263,0.442,0.099,0.271
路径17,289,0.521,0.056,0.328
路径17,316,0.508,0.049,0.254
路径17,342,0.577,0.009,0.249
路径17,368,0.355,0.001,0.182
路径17,394,0.39,0,0.071
路径17,421,0.496,0,0.131
路径17,447,0.423,0,0.08
路径17,473,0.376,0,0.048
