路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.485,0.488,0.382
路径1,53,0.314,0.55,0.401
路径1,79,0.317,0.421,0.385
路径1,106,0.272,0.365,0.324
路径1,132,0.393,0.338,0.254
路径1,158,0.306,0.151,0.227
路径1,184,0.391,0.174,0.318
路径1,211,0.252,0.211,0.295
路径1,237,0.28,0.256,0.307
路径1,263,0.253,0.116,0.181
路径1,289,0.172,0.032,0.099
路径1,316,0.103,0.009,0.051
路径1,342,0.184,0.008,0.04
路径1,368,0.14,0.048,0.062
路径1,394,0.064,0.082,0.052
路径1,421,0.091,0.018,0.047
路径1,447,0.085,0.052,0.026
路径1,473,0.067,0.032,0.005
路径1,500,0.007,0,0
路径2,1,0.5,0.5,0.5
路径2,27,0.272,0.35,0.372
路径2,53,0.205,0.248,0.372
路径2,79,0.248,0.228,0.178
路径2,106,0.247,0.179,0.113
路径2,132,0.235,0.108,0.066
路径2,158,0.229,0.068,0.053
路径2,184,0.113,0.074,0.077
路径2,211,0.185,0.13,0.034
路径2,237,0.119,0.066,0.025
路径2,263,0.164,0.018,0.028
路径2,289,0.195,0.008,0.009
路径2,316,0.179,0,0
路径2,342,0.276,0,0
路径2,368,0.398,0,0
路径2,394,0.44,0,0
路径2,421,0.448,0,0
路径2,447,0.403,0,0
路径2,473,0.442,0,0
路径2,500,0.279,0,0
路径3,1,0.5,0.5,0.5
路径3,27,0.617,0.382,0.493
路径3,53,0.618,0.379,0.461
路径3,79,0.685,0.393,0.536
路径3,106,0.63,0.384,0.524
路径3,132,0.553,0.276,0.341
路径3,158,0.53,0.229,0.339
路径3,184,0.546,0.153,0.218
路径3,211,0.493,0.209,0.265
路径3,237,0.373,0.198,0.34
路径3,263,0.375,0.136,0.358
路径3,289,0.353,0.17,0.437
路径3,316,0.446,0.133,0.5
路径3,342,0.457,0.142,0.419
路径3,368,0.504,0.025,0.33
路径3,394,0.633,0.019,0.354
路径3,421,0.657,0.018,0.297
路径3,447,0.69,0.008,0.162
路径3,473,0.765,0,0.109
路径3,500,0.747,0,0.136
路径4,1,0.5,0.5,0.5
路径4,27,0.427,0.449,0.358
路径4,53,0.399,0.489,0.321
路径4,79,0.534,0.499,0.309
路径4,106,0.434,0.403,0.227
路径4,132,0.47,0.383,0.214
路径4,158,0.386,0.209,0.236
路径4,184,0.401,0.186,0.289
路径4,211,0.453,0.047,0.346
路径4,237,0.423,0.026,0.335
路径4,263,0.555,0,0.251
路径4,289,0.525,0,0.167
路径4,316,0.519,0,0.12
路径4,342,0.608,0,0.156
路径4,368,0.644,0,0.095
路径4,394,0.68,0,0.019
路径4,421,0.649,0,0.014
路径4,447,0.704,0,0
路径4,473,0.774,0,0
路径4,500,0.719,0,0
路径5,1,0.5,0.5,0.5
路径5,27,0.463,0.254,0.37
路径5,53,0.488,0.188,0.359
路径5,79,0.512,0.134,0.31
路径5,106,0.398,0.088,0.338
路径5,132,0.42,0.037,0.208
路径5,158,0.483,0,0.197
路径5,184,0.424,0,0.233
路径5,211,0.434,0,0.23
路径5,237,0.5,0,0.253
路径5,263,0.386,0,0.304
路径5,289,0.42,0,0.232
路径5,316,0.524,0,0.222
路径5,342,0.572,0,0.176
路径5,368,0.579,0,0.176
路径5,394,0.607,0,0.123
路径5,421,0.591,0,0.082
路径5,447,0.543,0,0.039
路径5,473,0.554,0,0.054
路径5,500,0.579,0,0.028
路径6,1,0.5,0.5,0.5
路径6,27,0.442,0.353,0.42
路径6,53,0.434,0.207,0.246
路径6,79,0.501,0.193,0.256
路径6,106,0.309,0.181,0.21
路径6,132,0.341,0.114,0.149
路径6,158,0.381,0.08,0.089
路径6,184,0.441,0.088,0.011
路径6,211,0.438,0.044,0
路径6,237,0.435,0.057,0
路径6,263,0.33,0.023,0
路径6,289,0.277,0,0
路径6,316,0.306,0,0
路径6,342,0.326,0,0
路径6,368,0.29,0,0
路径6,394,0.216,0,0
路径6,421,0.197,0,0
路径6,447,0.142,0,0
路径6,473,0.235,0,0
路径6,500,0.123,0,0
路径7,1,0.5,0.5,0.5
路径7,27,0.443,0.457,0.415
路径7,53,0.411,0.5,0.355
路径7,79,0.194,0.345,0.314
路径7,106,0.283,0.141,0.316
路径7,132,0.235,0.143,0.353
路径7,158,0.314,0.148,0.232
路径7,184,0.264,0.111,0.126
路径7,211,0.249,0.083,0.08
路径7,237,0.227,0.034,0.039
路径7,263,0.279,0.018,0
路径7,289,0.286,0.011,0
路径7,316,0.308,0,0
路径7,342,0.348,0,0
路径7,368,0.505,0,0
路径7,394,0.53,0,0
路径7,421,0.488,0,0
路径7,447,0.476,0,0
路径7,473,0.491,0,0
路径7,500,0.504,0,0
路径8,1,0.5,0.5,0.5
路径8,27,0.3,0.5,0.513
路径8,53,0.304,0.509,0.434
路径8,79,0.171,0.38,0.375
路径8,106,0.148,0.239,0.268
路径8,132,0.039,0.183,0.271
路径8,158,0.055,0.176,0.356
路径8,184,0.178,0.198,0.433
路径8,211,0.212,0.1,0.355
路径8,237,0.188,0.11,0.255
路径8,263,0.119,0.196,0.155
路径8,289,0.154,0.262,0.118
路径8,316,0.062,0.216,0.034
路径8,342,0.052,0.109,0.012
路径8,368,0.049,0.052,0.003
路径8,394,0.087,0.054,0
路径8,421,0.061,0.01,0
路径8,447,0.011,0,0
路径8,473,0.001,0,0
路径8,500,0,0,0
