路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.498,0.48,0.457
路径1,53,0.399,0.411,0.399
路径1,79,0.371,0.487,0.261
路径1,106,0.368,0.426,0.172
路径1,132,0.367,0.398,0.121
路径1,158,0.293,0.405,0.076
路径1,184,0.255,0.235,0.064
路径1,211,0.335,0.155,0.066
路径1,237,0.253,0.127,0.023
路径1,263,0.267,0.084,0.038
路径1,289,0.444,0.024,0.009
路径1,316,0.339,0.016,0
路径1,342,0.253,0,0
路径1,368,0.257,0,0
路径1,394,0.348,0,0
路径1,421,0.358,0,0
路径1,447,0.561,0,0
路径1,473,0.569,0,0
路径1,500,0.683,0,0
路径2,1,0.5,0.5,0.5
路径2,27,0.594,0.433,0.35
路径2,53,0.576,0.421,0.455
路径2,79,0.449,0.28,0.45
路径2,106,0.447,0.118,0.447
路径2,132,0.379,0.113,0.496
路径2,158,0.271,0.09,0.446
路径2,184,0.351,0.132,0.284
路径2,211,0.348,0.031,0.2
路径2,237,0.341,0.037,0.207
路径2,263,0.295,0.036,0.161
路径2,289,0.324,0.009,0.105
路径2,316,0.309,0,0.109
路径2,342,0.325,0,0.017
路径2,368,0.32,0,0.024
路径2,394,0.262,0,0.071
路径2,421,0.172,0,0.064
路径2,447,0.167,0,0.043
路径2,473,0.24,0,0.006
路径2,500,0.292,0,0.002
路径3,1,0.5,0.5,0.5
路径3,27,0.489,0.497,0.444
路径3,53,0.534,0.43,0.433
路径3,79,0.641,0.354,0.284
路径3,106,0.557,0.265,0.35
路径3,132,0.453,0.06,0.189
路径3,158,0.639,0.014,0.162
路径3,184,0.673,0.028,0.208
路径3,211,0.667,0.044,0.128
路径3,237,0.678,0.013,0.175
路径3,263,0.789,0,0.182
路径3,289,0.772,0,0.244
路径3,316,0.657,0,0.169
路径3,342,0.662,0,0.112
路径3,368,0.637,0,0.171
路径3,394,0.697,0,0.137
路径3,421,0.828,0,0.117
路径3,447,0.879,0,0.149
路径3,473,0.95,0,0.126
路径3,500,0.949,0,0.098
路径4,1,0.5,0.5,0.5
路径4,27,0.437,0.533,0.324
路径4,53,0.346,0.561,0.213
路径4,79,0.266,0.444,0.174
路径4,106,0.335,0.314,0.111
路径4,132,0.348,0.236,0.085
路径4,158,0.39,0.162,0.064
路径4,184,0.464,0.2,0.051
路径4,211,0.414,0.07,0
路径4,237,0.47,0.046,0
路径4,263,0.373,0,0
路径4,289,0.323,0,0
路径4,316,0.271,0,0
路径4,342,0.256,0,0
路径4,368,0.195,0,0
路径4,394,0.136,0,0
