路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.413,0.452,0.501
路径1,53,0.385,0.263,0.407
路径1,79,0.361,0.17,0.469
路径1,106,0.261,0.087,0.399
路径1,132,0.215,0.038,0.284
路径1,158,0.225,0.048,0.295
路径1,184,0.287,0.084,0.324
路径1,211,0.262,0.064,0.317
路径1,237,0.258,0.049,0.317
路径1,263,0.301,0.064,0.27
路径1,289,0.278,0.052,0.163
路径1,316,0.28,0.025,0.151
路径1,342,0.249,0.01,0.049
路径1,368,0.227,0,0.087
路径1,394,0.281,0,0.082
路径1,421,0.249,0,0.164
路径1,447,0.221,0,0.181
路径1,473,0.244,0,0.169
路径1,500,0.11,0,0.227
路径2,1,0.5,0.5,0.5
路径2,27,0.317,0.286,0.532
路径2,53,0.235,0.235,0.526
路径2,79,0.17,0.2,0.662
路径2,106,0.142,0.247,0.548
路径2,132,0.214,0.225,0.456
路径2,158,0.15,0.356,0.394
路径2,184,0.153,0.288,0.327
路径2,211,0.136,0.267,0.303
路径2,237,0.149,0.253,0.288
路径2,263,0.102,0.191,0.249
路径2,289,0.095,0.147,0.223
路径2,316,0.185,0.092,0.119
路径2,342,0.134,0.081,0.132
路径2,368,0.077,0.045,0.103
路径2,394,0.022,0.028,0.021
路径2,421,0.052,0.038,0.037
路径2,447,0.093,0.027,0.016
路径2,473,0.192,0,0
路径2,500,0.156,0,0
路径3,1,0.5,0.5,0.5
路径3,27,0.536,0.439,0.439
路径3,53,0.626,0.352,0.382
路径3,79,0.551,0.307,0.35
路径3,106,0.52,0.255,0.262
路径3,132,0.397,0.128,0.314
路径3,158,0.39,0.136,0.344
路径3,184,0.367,0.159,0.287
路径3,211,0.471,0.171,0.19
路径3,237,0.662,0.114,0.158
路径3,263,0.667,0.095,0.102
路径3,289,0.717,0.056,0.133
路径3,316,0.77,0.034,0.205
路径3,342,0.782,0.064,0.152
路径3,368,0.682,0.011,0.084
路径3,394,0.658,0.01,0.007
路径3,421,0.604,0.006,0.001
路径3,447,0.589,0,0
路径3,473,0.699,0,0
路径3,500,0.782,0,0
路径4,1,0.5,0.5,0.5
路径4,27,0.46,0.403,0.49
路径4,53,0.356,0.294,0.412
路径4,79,0.44,0.263,0.456
路径4,106,0.493,0.278,0.325
路径4,132,0.513,0.329,0.316
路径4,158,0.499,0.3,0.288
路径4,184,0.518,0.268,0.222
路径4,211,0.473,0.214,0.194
路径4,237,0.639,0.194,0.154
路径4,263,0.655,0.128,0.112
路径4,289,0.771,0.244,0.127
路径4,316,0.617,0.239,0.064
路径4,342,0.71,0.129,0.063
路径4,368,0.515,0.131,0.062
路径4,394,0.623,0.109,0.037
路径4,421,0.707,0.032,0.074
路径4,447,0.641,0.005,0.12
路径4,473,0.704,0,0.027
路径4,500,0.687,0,0
路径5,1,0.5,0.5,0.5
路径5,27,0.409,0.383,0.439
路径5,53,0.464,0.282,0.361
路径5,79,0.499,0.256,0.295
路径5,106,0.438,0.271,0.261
路径5,132,0.494,0.249,0.165
路径5,158,0.481,0.187,0.166
路径5,184,0.419,0.213,0.121
路径5,211,0.38,0.093,0.144
路径5,237,0.412,0.1,0.103
路径5,263,0.52,0.051,0.117
路径5,289,0.536,0.068,0.077
路径5,316,0.396,0.105,0.101
路径5,342,0.457,0.036,0.074
路径5,368,0.449,0.052,0.02
路径5,394,0.388,0.004,0
路径5,421,0.453,0,0
路径5,447,0.363,0,0
路径5,473,0.356,0,0
路径5,500,0.356,0,0
路径6,1,0.5,0.5,0.5
路径6,27,0.421,0.391,0.364
路径6,53,0.426,0.34,0.275
路径6,79,0.548,0.182,0.271
路径6,106,0.547,0.193,0.224
路径6,132,0.687,0.23,0.277
路径6,158,0.736,0.235,0.218
路径6,184,0.868,0.308,0.164
路径6,211,0.801,0.337,0.154
路径6,237,0.753,0.259,0.111
路径6,263,0.644,0.144,0.127
路径6,289,0.547,0.152,0.082
路径6,316,0.436,0.027,0.042
路径6,342,0.37,0.036,0.02
路径6,368,0.33,0.039,0.014
路径6,394,0.235,0.012,0.019
路径6,421,0.264,0,0
路径6,447,0.33,0,0
路径6,473,0.329,0,0
路径6,500,0.444,0,0
路径7,1,0.5,0.5,0.5
路径7,27,0.486,0.359,0.38
路径7,53,0.412,0.267,0.295
路径7,79,0.556,0.274,0.311
路径7,106,0.459,0.214,0.255
路径7,132,0.576,0.302,0.187
路径7,158,0.582,0.258,0.14
路径7,184,0.571,0.156,0.042
路径7,211,0.6,0.166,0.08
路径7,237,0.679,0.085,0.031
路径7,263,0.813,0.099,0.05
路径7,289,0.91,0.147,0.013
路径7,316,0.92,0.158,0.025
路径7,342,0.887,0.16,0.05
路径7,368,0.835,0.105,0
路径7,394,0.831,0.034,0
路径7,421,0.858,0.01,0
路径7,447,0.938,0,0
路径7,473,1,0,0
路径7,500,1,0,0
路径8,1,0.5,0.5,0.5
路径8,27,0.479,0.471,0.352
路径8,53,0.475,0.424,0.147
路径8,79,0.402,0.306,0.058
路径8,106,0.479,0.155,0.044
路径8,132,0.607,0.196,0
路径8,158,0.564,0.173,0
路径8,184,0.64,0.193,0
路径8,211,0.62,0.159,0
路径8,237,0.671,0.169,0
路径8,263,0.592,0.165,0
路径8,289,0.583,0.094,0
路径8,316,0.584,0.073,0
路径8,342,0.592,0.032,0
路径8,368,0.547,0.012,0
路径8,394,0.6,0.017,0
路径8,421,0.535,0,0
路径8,447,0.535,0,0
路径8,473,0.524,0,0
路径8,500,0.491,0,0
路径9,1,0.5,0.5,0.5
路径9,27,0.544,0.358,0.438
路径9,53,0.512,0.323,0.473
路径9,79,0.515,0.266,0.397
路径9,106,0.604,0.157,0.343
路径9,132,0.685,0.137,0.215
路径9,158,0.755,0.102,0.088
路径9,184,0.648,0.022,0.064
路径9,211,0.496,0.073,0.045
路径9,237,0.675,0,0.001
路径9,263,0.65,0,0.008
路径9,289,0.778,0,0.045
路径9,316,0.791,0,0.028
路径9,342,0.9,0,0.042
路径9,368,0.951,0,0.027
路径9,394,0.96,0,0
路径9,421,1,0,0
路径9,447,1,0,0
路径9,473,1,0,0
路径9,500,1,0,0
路径10,1,0.5,0.5,0.5
路径10,27,0.457,0.374,0.344
路径10,53,0.391,0.095,0.259
路径10,79,0.342,0.05,0.323
路径10,106,0.351,0.018,0.349
路径10,132,0.318,0,0.302
路径10,158,0.242,0,0.16
路径10,184,0.177,0,0.13
路径10,211,0.128,0,0.01
路径10,237,0.136,0,0.049
路径10,263,0.175,0,0.029
路径10,289,0.31,0,0.019
路径10,316,0.284,0,0
路径10,342,0.245,0,0
路径10,368,0.363,0,0
路径10,394,0.513,0,0
路径10,421,0.455,0,0
路径10,447,0.45,0,0
路径10,473,0.512,0,0
路径10,500,0.653,0,0
路径11,1,0.5,0.5,0.5
路径11,27,0.485,0.44,0.407
路径11,53,0.464,0.363,0.474
路径11,79,0.447,0.22,0.421
路径11,106,0.459,0.116,0.55
路径11,132,0.473,0.085,0.331
路径11,158,0.386,0.028,0.347
路径11,184,0.471,0.022,0.253
路径11,211,0.64,0,0.194
路径11,237,0.605,0,0.116
路径11,263,0.578,0,0.142
路径11,289,0.63,0,0.192
路径11,316,0.602,0,0.196
路径11,342,0.78,0,0.146
路径11,368,0.882,0,0.114
路径11,394,0.834,0,0.022
路径11,421,0.88,0,0.012
路径11,447,0.919,0,0
路径11,473,0.846,0,0
路径11,500,0.888,0,0
路径12,1,0.5,0.5,0.5
路径12,27,0.506,0.386,0.313
路径12,53,0.489,0.33,0.356
路径12,79,0.461,0.266,0.165
路径12,106,0.426,0.299,0.123
路径12,132,0.354,0.298,0.114
路径12,158,0.307,0.269,0.091
路径12,184,0.277,0.201,0.035
路径12,211,0.301,0.141,0.066
路径12,237,0.391,0.099,0.08
路径12,263,0.331,0.124,0.021
路径12,289,0.378,0.056,0.019
路径12,316,0.446,0.096,0
路径12,342,0.292,0.027,0
路径12,368,0.187,0,0
路径12,394,0.2,0,0
路径12,421,0.055,0,0
路径12,447,0.1,0,0
路径12,473,0.046,0,0
路径12,500,0.021,0,0
路径13,1,0.5,0.5,0.5
路径13,27,0.307,0.406,0.424
路径13,53,0.479,0.47,0.303
路径13,79,0.558,0.373,0.195
