路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.528,0.331,0.504
路径1,53,0.637,0.289,0.284
路径1,79,0.743,0.172,0.177
路径1,106,0.887,0.276,0.151
路径1,132,1,0.191,0.246
路径1,158,1,0.148,0.259
路径1,184,1,0.126,0.299
路径1,211,1,0.051,0.29
路径1,237,1,0.06,0.274
路径1,263,1,0.085,0.466
路径1,289,1,0.091,0.282
路径1,316,1,0.185,0.328
路径1,342,1,0.151,0.257
路径1,368,1,0.145,0.229
路径1,394,1,0.055,0.198
路径1,421,1,0.004,0.242
路径1,447,1,0,0.37
路径1,473,1,0,0.348
路径1,500,1,0,0.375
路径2,1,0.5,0.5,0.5
路径2,27,0.476,0.326,0.237
路径2,53,0.611,0.236,0.193
路径2,79,0.826,0.095,0.251
路径2,106,0.928,0.134,0.197
路径2,132,1,0.124,0.213
路径2,158,1,0.144,0.217
路径2,184,1,0.22,0.147
路径2,211,1,0.139,0.191
路径2,237,1,0.139,0.13
路径2,263,1,0.064,0.18
路径2,289,1,0.047,0.099
路径2,316,1,0.014,0.042
路径2,342,1,0.021,0.046
路径2,368,1,0.032,0.015
路径2,394,1,0.009,0
路径2,421,1,0.005,0
路径2,447,1,0.034,0
路径2,473,1,0.004,0
路径2,500,1,0.012,0
路径3,1,0.5,0.5,0.5
路径3,27,0.489,0.539,0.482
路径3,53,0.5,0.325,0.46
路径3,79,0.65,0.162,0.318
路径3,106,0.894,0.108,0.298
路径3,132,1,0.163,0.222
路径3,158,1,0.084,0.302
路径3,184,1,0.103,0.376
路径3,211,1,0.082,0.26
路径3,237,1,0.034,0.271
路径3,263,1,0.006,0.252
路径3,289,1,0,0.214
路径3,316,1,0,0.236
路径3,342,1,0,0.234
路径3,368,1,0,0.211
路径3,394,1,0,0.287
路径3,421,1,0,0.149
路径3,447,1,0,0.11
路径3,473,1,0,0.059
路径3,500,1,0,0.038
路径4,1,0.5,0.5,0.5
路径4,27,0.511,0.337,0.459
路径4,53,0.408,0.163,0.338
路径4,79,0.454,0.113,0.339
路径4,106,0.561,0.094,0.216
路径4,132,0.856,0.051,0.095
路径4,158,1,0.004,0.121
路径4,184,1,0,0.04
路径4,211,1,0,0.071
路径4,237,1,0,0.07
路径4,263,1,0,0.029
路径4,289,1,0,0.049
路径4,316,1,0,0.035
路径4,342,1,0,0.007
路径4,368,1,0,0
