路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.454,0.638,0.294
路径1,53,0.512,0.623,0.149
路径1,79,0.58,0.592,0.19
路径1,106,0.623,0.51,0.153
路径1,132,0.452,0.601,0.148
路径1,158,0.513,0.693,0.16
路径1,184,0.408,0.797,0.169
路径1,211,0.582,0.91,0.157
路径1,237,0.458,0.923,0.216
路径1,263,0.468,0.867,0.314
路径1,289,0.359,0.845,0.371
路径1,316,0.442,0.89,0.337
路径1,342,0.562,0.974,0.335
路径1,368,0.551,1,0.365
路径1,394,0.601,0.997,0.208
路径1,421,0.743,0.98,0.14
路径1,447,0.614,0.934,0.12
路径1,473,0.721,0.925,0.036
路径1,500,0.719,0.801,0.097
路径2,1,0.5,0.5,0.5
路径2,27,0.591,0.467,0.474
路径2,53,0.591,0.473,0.415
路径2,79,0.571,0.328,0.435
路径2,106,0.65,0.267,0.351
路径2,132,0.748,0.158,0.256
路径2,158,0.791,0.131,0.184
路径2,184,0.862,0.117,0.142
路径2,211,0.942,0.12,0.214
路径2,237,0.947,0.129,0.214
路径2,263,0.98,0.136,0.092
路径2,289,0.979,0.035,0.042
路径2,316,1,0.007,0.024
路径2,342,1,0.047,0.041
路径2,368,1,0.089,0.033
路径2,394,0.999,0.041,0.019
路径2,421,1,0.054,0.004
路径2,447,1,0.051,0
路径2,473,1,0.01,0
路径2,500,1,0.018,0
路径3,1,0.5,0.5,0.5
路径3,27,0.586,0.429,0.373
路径3,53,0.667,0.459,0.287
路径3,79,0.659,0.443,0.327
路径3,106,0.728,0.482,0.118
路径3,132,0.694,0.414,0.112
路径3,158,0.492,0.369,0.09
路径3,184,0.604,0.482,0.046
路径3,211,0.583,0.502,0.042
路径3,237,0.679,0.481,0.115
路径3,263,0.695,0.527,0.076
路径3,289,0.725,0.443,0.138
路径3,316,0.637,0.449,0.154
路径3,342,0.481,0.477,0.076
路径3,368,0.341,0.368,0.071
路径3,394,0.421,0.332,0.132
路径3,421,0.349,0.275,0.172
路径3,447,0.341,0.165,0.116
路径3,473,0.221,0.197,0.097
路径3,500,0.189,0.171,0.151
路径4,1,0.5,0.5,0.5
路径4,27,0.524,0.499,0.313
路径4,53,0.482,0.511,0.273
路径4,79,0.431,0.591,0.247
路径4,106,0.285,0.759,0.242
路径4,132,0.295,0.736,0.25
路径4,158,0.346,0.789,0.143
路径4,184,0.374,0.718,0.084
路径4,211,0.538,0.648,0.047
路径4,237,0.445,0.525,0.031
路径4,263,0.439,0.43,0
路径4,289,0.434,0.447,0
路径4,316,0.402,0.343,0
路径4,342,0.352,0.289,0
路径4,368,0.386,0.256,0
路径4,394,0.506,0.284,0
路径4,421,0.418,0.222,0
路径4,447,0.333,0.286,0
路径4,473,0.309,0.221,0
路径4,500,0.412,0.208,0
