模拟路径,博弈论次,α,β,γ
路径8,1,0.2,0.5,0.5
路径8,27,0.122115641,0.477227822,0.275877987
路径8,53,0.14867935,0.419464256,0.269877525
路径8,79,0.174645683,0.210531595,0.211135256
路径8,106,0.14862215,0.152775734,0.07706881
路径8,132,0.213598603,0.100592229,0.060072375
路径8,158,0.337660567,0.071423652,0.128121494
路径8,184,0.435933165,0.102699144,0.072354657
路径8,211,0.558362595,0.108026494,0.026077253
路径8,237,0.647809026,0.05807603,0
路径8,263,0.592457023,0.03820939,0
路径8,289,0.71355114,0.074712478,0
路径8,316,0.549098412,0.058758014,0
路径8,342,0.534354843,0.053145548,0
路径8,368,0.645840264,0,0
路径8,394,0.656552066,0,0
路径8,421,0.636964637,0,0
路径8,447,0.646382008,0,0
路径8,473,0.581018953,0,0
路径8,500,0.59403123,0,0
路径9,1,0.2,0.5,0.5
路径9,27,0.116243793,0.483687889,0.46997118
路径9,53,0.03038504,0.426477325,0.281564504
路径9,79,0.000513295,0.418223487,0.247599545
路径9,106,0,0.403699663,0.259353401
路径9,132,0,0.445830389,0.223911438
路径9,158,0,0.399118758,0.175857164
路径9,184,0,0.32932942,0.175640187
路径9,211,0,0.206186686,0.168193938
路径9,237,0,0.233575543,0.200503913
路径9,263,0,0.086125579,0.219389578
路径9,289,0,0.083749313,0.268968752
路径9,316,0,0.139998567,0.342410849
路径9,342,0,0.078262289,0.299319157
路径9,368,0,0.150072494,0.363929307
路径9,394,0,0.153806214,0.329102531
路径9,421,0,0.102125073,0.359363291
路径9,447,0,0.073743433,0.317020069
路径9,473,0,0.02710742,0.297302675
路径9,500,0,0.068674133,0.290568251
路径10,1,0.2,0.5,0.5
路径10,27,0.102847906,0.616268495,0.276882008
路径10,53,0.178545514,0.58500436,0.224005057
路径10,79,0.098760988,0.515248652,0.123421678
路径10,106,0.062503435,0.466063659,0.034766496
路径10,132,0.033951327,0.391888125,0.004665892
路径10,158,0.044452312,0.447168051,0
路径10,184,0.051524569,0.380040528,0
路径10,211,0.032602646,0.30874036,0
路径10,237,0.037674304,0.261457209,0
路径10,263,0.005687444,0.136497989,0
路径10,289,0,0.179013552,0
路径10,316,0,0.161012245,0
路径10,342,0,0.101998652,0
路径10,368,0,0.120924045,0
路径10,394,0,0.083301901,0
路径10,421,0,0.045518017,0
路径10,447,0,0.011908807,0
路径10,473,0,0,0
路径10,500,0,0,0
路径11,1,0.2,0.5,0.5
路径11,27,0.201275418,0.422953805,0.568314278
路径11,53,0.190132614,0.435586117,0.55879288
路径11,79,0.20668186,0.341772243,0.481159737
路径11,106,0.323800104,0.29419272,0.40529693
路径11,132,0.255542809,0.237122484,0.3226313
路径11,158,0.451582143,0.241525689,0.292665271
