模拟路径,博弈论次,α,β,γ
路径1,1,0.5,0.2,0.5
路径1,27,0.597679875,0.204503683,0.449829692
路径1,53,0.621014775,0.222818922,0.451053785
路径1,79,0.707677454,0.211320705,0.493193784
路径1,106,0.614161531,0.097625761,0.393975345
路径1,132,0.624292874,0.101922382,0.166130553
路径1,158,0.699679714,0.091094675,0.25009735
路径1,184,0.643660129,0.085363399,0.221173528
路径1,211,0.617670978,0.033656964,0.266106114
路径1,237,0.694798028,0,0.182864958
路径1,263,0.733010337,0,0.108460836
路径1,289,0.671799089,0,0.088810905
路径1,316,0.574318529,0,0.03025254
路径1,342,0.576122346,0,0.003753166
路径1,368,0.601987768,0,0
路径1,394,0.539676917,0,0
路径1,421,0.751829215,0,0
路径1,447,0.818931259,0,0
路径1,473,0.803329379,0,0
路径1,500,0.78800793,0,0
路径2,1,0.5,0.2,0.5
路径2,27,0.510507966,0.12389732,0.430456103
路径2,53,0.516788306,0.138609478,0.446184185
路径2,79,0.397057338,0.12603133,0.344596591
路径2,106,0.431708133,0.160887811,0.234681376
路径2,132,0.318194463,0.205505995,0.132484444
路径2,158,0.291949313,0.112850732,0.139535556
路径2,184,0.285798243,0.042132904,0.189510568
路径2,211,0.132084074,0.039537552,0.095748553
路径2,237,0.103954672,0.050024882,0.111447125
路径2,263,0.148428871,0.032320601,0.110509324
路径2,289,0.161614618,0.061884178,0.041467324
路径2,316,0.145427984,0.030053156,0.013935306
路径2,342,0.137348968,0.037948566,0
路径2,368,0.127974251,0.005147277,0
路径2,394,0.064836196,0,0
路径2,421,0.101057636,0,0
路径2,447,0.159088975,0,0
路径2,473,0.124737393,0,0
路径2,500,0.09877499,0,0
路径3,1,0.5,0.2,0.5
路径3,27,0.465736346,0.105874905,0.445480284
路径3,53,0.464954925,0.05634168,0.4118928
路径3,79,0.609179654,0.033223684,0.499373839
路径3,106,0.492368706,0.01726051,0.501415741
路径3,132,0.515629483,0.001873152,0.336636554
路径3,158,0.601741317,0.002881902,0.312199414
路径3,184,0.679045678,0,0.450464241
路径3,211,0.694507282,0,0.482681371
路径3,237,0.846204668,0,0.393118297
路径3,263,0.953819225,0,0.23101827
路径3,289,0.96075793,0,0.135953984
路径3,316,0.97911758,0,0.101327041
路径3,342,1,0,0.209050681
路径3,368,1,0,0.170192983
路径3,394,1,0,0.096319145
路径3,421,1,0,0.0761716
路径3,447,1,0,0.080699801
路径3,473,1,0,0.150312881
路径3,500,1,0,0.167909105
路径4,1,0.5,0.2,0.5
路径4,27,0.516357155,0.255008391,0.429528994
路径4,53,0.469425656,0.170792849,0.268940188
路径4,79,0.522151873,0.153421474,0.193222766
路径4,106,0.589156911,0.117580386,0.120457316
路径4,132,0.603852896,0.072963603,0.172267649
路径4,158,0.413056131,0.090143387,0.121529481
路径4,184,0.378449057,0.145692235,0.120474278
路径4,211,0.388272611,0.150052676,0.134731735
路径4,237,0.387862384,0.159186751,0.065681901
路径4,263,0.339988487,0.154771516,0.029500362
路径4,289,0.206153714,0.181760932,0.137875476
路径4,316,0.241297931,0.150157945,0.157165084
路径4,342,0.165349283,0.151363933,0.136474806
路径4,368,0.150060973,0.131992865,0.059960769
路径4,394,0.091136291,0.079242273,0.12676799
路径4,421,0.090269634,0.053218485,0.113879001
路径4,447,0.096149623,0.043662649,0.082757737
路径4,473,0.020323411,0.003551641,0.07167093
路径4,500,0.022090258,0,0.069904255
路径5,1,0.5,0.2,0.5
路径5,27,0.412150984,0.142628748,0.41030043
路径5,53,0.355293396,0.117558877,0.416994428
路径5,79,0.403987219,0.072218664,0.228931584
路径5,106,0.534658361,0.065914508,0.29523313
路径5,132,0.662279741,0.02576672,0.225512062
