路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.258,0.535,0.433
路径1,53,0.16,0.485,0.35
路径1,79,0.245,0.415,0.312
路径1,106,0.198,0.211,0.24
路径1,132,0.167,0.195,0.139
路径1,158,0.146,0.152,0.103
路径1,184,0.065,0.05,0.091
路径1,211,0.045,0.059,0.113
路径1,237,0.067,0.032,0.149
路径1,263,0.031,0.011,0.194
路径1,289,0.047,0.042,0.23
路径1,316,0.066,0.001,0.196
路径1,342,0.05,0,0.148
路径1,368,0.108,0,0.223
路径1,394,0.015,0,0.252
路径1,421,0,0,0.378
路径1,447,0,0,0.409
路径1,473,0,0,0.19
路径1,500,0,0,0.255
路径2,1,0.5,0.5,0.5
路径2,27,0.454,0.492,0.412
路径2,53,0.232,0.461,0.319
路径2,79,0.246,0.506,0.228
路径2,106,0.162,0.537,0.139
路径2,132,0.108,0.473,0.136
路径2,158,0.047,0.263,0.089
路径2,184,0.041,0.138,0.057
路径2,211,0.044,0.122,0.006
路径2,237,0.025,0.121,0
路径2,263,0.041,0.116,0
路径2,289,0.057,0.15,0
路径2,316,0.033,0.136,0
路径2,342,0.055,0.083,0
路径2,368,0.158,0.089,0
路径2,394,0.192,0.055,0
路径2,421,0.142,0.023,0
路径2,447,0.129,0.023,0
路径2,473,0.226,0.025,0
路径2,500,0.118,0.028,0
路径3,1,0.5,0.5,0.5
路径3,27,0.349,0.461,0.466
路径3,53,0.234,0.398,0.425
路径3,79,0.236,0.315,0.353
路径3,106,0.229,0.274,0.236
路径3,132,0.227,0.133,0.315
路径3,158,0.34,0.062,0.177
路径3,184,0.394,0.022,0.263
路径3,211,0.513,0.025,0.23
路径3,237,0.467,0.056,0.136
路径3,263,0.422,0.036,0.1
路径3,289,0.489,0.012,0.067
路径3,316,0.382,0,0.02
路径3,342,0.308,0,0.058
路径3,368,0.284,0,0.06
路径3,394,0.268,0,0.037
路径3,421,0.234,0,0.052
路径3,447,0.194,0,0.037
路径3,473,0.158,0,0.055
路径3,500,0.093,0,0.049
路径4,1,0.5,0.5,0.5
路径4,27,0.462,0.519,0.403
路径4,53,0.445,0.441,0.245
路径4,79,0.469,0.408,0.209
路径4,106,0.4,0.198,0.159
路径4,132,0.552,0.112,0.11
路径4,158,0.533,0.077,0.065
路径4,184,0.407,0.06,0.027
路径4,211,0.346,0.12,0
路径4,237,0.242,0.205,0
路径4,263,0.286,0.178,0
路径4,289,0.366,0.121,0
路径4,316,0.382,0.18,0
路径4,342,0.317,0.179,0
路径4,368,0.262,0.083,0
路径4,394,0.207,0.023,0
路径4,421,0.216,0.027,0
路径4,447,0.143,0.059,0
路径4,473,0.091,0.039,0
路径4,500,0.065,0.007,0
路径5,1,0.5,0.5,0.5
路径5,27,0.524,0.388,0.506
路径5,53,0.39,0.411,0.486
路径5,79,0.271,0.569,0.514
路径5,106,0.228,0.575,0.454
路径5,132,0.289,0.526,0.297
路径5,158,0.215,0.501,0.249
路径5,184,0.279,0.441,0.185
路径5,211,0.182,0.417,0.168
路径5,237,0.207,0.338,0.156
路径5,263,0.254,0.281,0.092
路径5,289,0.273,0.357,0.097
路径5,316,0.315,0.538,0.041
路径5,342,0.451,0.478,0.036
路径5,368,0.38,0.426,0.005
路径5,394,0.421,0.295,0.005
路径5,421,0.283,0.279,0
路径5,447,0.127,0.504,0
路径5,473,0.156,0.376,0
路径5,500,0.043,0.37,0
路径6,1,0.5,0.5,0.5
路径6,27,0.515,0.51,0.523
路径6,53,0.502,0.486,0.484
路径6,79,0.499,0.399,0.338
路径6,106,0.498,0.234,0.416
路径6,132,0.414,0.206,0.276
路径6,158,0.415,0.174,0.235
路径6,184,0.323,0.194,0.216
路径6,211,0.246,0.119,0.148
路径6,237,0.225,0.099,0.14
路径6,263,0.152,0.131,0.095
路径6,289,0.202,0.059,0.059
路径6,316,0.274,0.032,0.063
路径6,342,0.316,0.001,0.024
路径6,368,0.281,0,0
路径6,394,0.158,0,0
