路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.45,0.428,0.406
路径1,53,0.456,0.319,0.25
路径1,79,0.502,0.186,0.207
路径1,106,0.446,0.149,0.114
路径1,132,0.433,0.074,0.052
路径1,158,0.549,0.097,0.127
路径1,184,0.672,0.086,0.109
路径1,211,0.474,0.113,0.114
路径1,237,0.508,0.129,0.159
路径1,263,0.528,0.045,0.051
路径1,289,0.58,0.022,0.01
路径1,316,0.494,0.017,0
路径1,342,0.416,0,0
路径1,368,0.47,0,0
路径1,394,0.342,0,0
路径1,421,0.352,0,0
路径1,447,0.455,0,0
路径1,473,0.418,0,0
路径1,500,0.447,0,0
路径2,1,0.5,0.5,0.5
路径2,27,0.585,0.334,0.447
路径2,53,0.559,0.344,0.326
路径2,79,0.661,0.363,0.192
路径2,106,0.762,0.251,0.128
路径2,132,0.761,0.138,0.07
路径2,158,0.73,0.12,0.077
路径2,184,0.661,0.065,0.017
路径2,211,0.608,0.032,0
路径2,237,0.651,0.028,0
路径2,263,0.653,0.046,0
路径2,289,0.672,0.035,0
路径2,316,0.628,0.009,0
路径2,342,0.553,0.005,0
路径2,368,0.603,0,0
路径2,394,0.644,0,0
路径2,421,0.748,0,0
路径2,447,0.653,0,0
路径2,473,0.709,0,0
路径2,500,0.606,0,0
路径3,1,0.5,0.5,0.5
路径3,27,0.451,0.463,0.33
路径3,53,0.357,0.486,0.26
路径3,79,0.321,0.44,0.227
路径3,106,0.214,0.399,0.194
路径3,132,0.226,0.286,0.188
路径3,158,0.112,0.232,0.141
路径3,184,0.147,0.149,0.168
路径3,211,0.102,0.03,0.137
路径3,237,0.163,0,0.134
路径3,263,0.165,0,0.271
路径3,289,0.18,0,0.335
路径3,316,0.14,0,0.389
路径3,342,0.211,0,0.269
路径3,368,0.3,0,0.274
路径3,394,0.15,0,0.318
路径3,421,0.18,0,0.292
路径3,447,0.073,0,0.328
路径3,473,0.082,0,0.384
路径3,500,0.119,0,0.363
路径4,1,0.5,0.5,0.5
路径4,27,0.438,0.499,0.325
路径4,53,0.419,0.419,0.376
路径4,79,0.258,0.3,0.402
路径4,106,0.165,0.325,0.409
路径4,132,0.082,0.191,0.452
路径4,158,0.071,0.214,0.413
路径4,184,0.027,0.23,0.334
路径4,211,0.015,0.237,0.337
路径4,237,0.025,0.174,0.243
路径4,263,0.031,0.223,0.188
路径4,289,0,0.209,0.133
路径4,316,0,0.225,0.131
路径4,342,0,0.103,0.241
路径4,368,0,0.141,0.215
路径4,394,0,0.137,0.14
路径4,421,0,0.077,0.1
路径4,447,0,0.017,0.038
路径4,473,0,0.024,0.009
路径4,500,0,0.034,0.012
路径5,1,0.5,0.5,0.5
路径5,27,0.278,0.375,0.325
路径5,53,0.245,0.378,0.195
路径5,79,0.187,0.303,0.299
路径5,106,0.141,0.255,0.309
路径5,132,0.108,0.209,0.254
路径5,158,0.066,0.192,0.062
路径5,184,0.095,0.186,0.057
路径5,211,0.076,0.171,0.03
路径5,237,0.088,0.154,0.027
路径5,263,0.044,0.157,0.037
路径5,289,0.097,0.082,0.018
路径5,316,0.113,0.106,0.01
路径5,342,0.171,0.114,0
路径5,368,0.094,0.135,0
路径5,394,0.096,0.098,0
路径5,421,0.106,0.002,0
路径5,447,0.065,0,0
路径5,473,0.041,0,0
路径5,500,0.121,0,0
路径6,1,0.5,0.5,0.5
路径6,27,0.464,0.49,0.391
