路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.413,0.405,0.377
路径1,53,0.38,0.443,0.27
路径1,79,0.425,0.315,0.224
路径1,106,0.267,0.262,0.196
路径1,132,0.295,0.233,0.278
路径1,158,0.349,0.171,0.201
路径1,184,0.368,0.129,0.148
路径1,211,0.325,0.071,0.138
路径1,237,0.387,0.011,0.236
路径1,263,0.364,0.008,0.157
路径1,289,0.267,0,0.131
路径1,316,0.253,0,0.216
路径1,342,0.279,0,0.169
路径1,368,0.253,0,0.127
路径1,394,0.369,0,0.119
路径1,421,0.368,0,0.172
路径1,447,0.441,0,0.078
路径1,473,0.519,0,0.055
路径1,500,0.59,0,0.013
路径2,1,0.5,0.5,0.5
路径2,27,0.424,0.59,0.333
路径2,53,0.376,0.488,0.317
路径2,79,0.398,0.431,0.227
路径2,106,0.336,0.37,0.2
路径2,132,0.338,0.239,0.277
路径2,158,0.376,0.141,0.155
路径2,184,0.362,0.061,0.234
路径2,211,0.475,0.023,0.173
路径2,237,0.524,0.083,0.217
路径2,263,0.581,0.038,0.302
路径2,289,0.694,0.032,0.266
路径2,316,0.621,0.013,0.199
路径2,342,0.677,0.01,0.198
路径2,368,0.752,0,0.14
路径2,394,0.759,0,0.075
路径2,421,0.84,0,0.046
路径2,447,0.901,0,0.041
路径2,473,0.919,0,0.102
路径2,500,0.884,0,0.124
路径3,1,0.5,0.5,0.5
路径3,27,0.511,0.48,0.439
路径3,53,0.46,0.495,0.347
路径3,79,0.347,0.505,0.271
路径3,106,0.357,0.358,0.107
路径3,132,0.252,0.095,0.099
路径3,158,0.344,0.194,0.084
路径3,184,0.386,0.19,0.071
路径3,211,0.396,0.054,0.058
路径3,237,0.34,0.035,0.042
路径3,263,0.456,0.016,0.057
路径3,289,0.406,0.005,0.034
路径3,316,0.367,0.005,0.013
路径3,342,0.442,0,0
路径3,368,0.443,0,0
路径3,394,0.576,0,0
路径3,421,0.646,0,0
路径3,447,0.522,0,0
路径3,473,0.646,0,0
路径3,500,0.77,0,0
路径4,1,0.5,0.5,0.5
路径4,27,0.492,0.447,0.592
路径4,53,0.484,0.441,0.555
路径4,79,0.462,0.415,0.475
路径4,106,0.444,0.264,0.356
路径4,132,0.4,0.271,0.253
路径4,158,0.374,0.254,0.203
路径4,184,0.398,0.172,0.166
路径4,211,0.296,0.211,0.171
路径4,237,0.367,0.231,0.233
路径4,263,0.309,0.135,0.23
路径4,289,0.351,0.106,0.189
路径4,316,0.348,0.076,0.269
路径4,342,0.315,0.057,0.213
路径4,368,0.241,0.054,0.154
路径4,394,0.283,0.06,0.151
路径4,421,0.41,0.019,0.153
路径4,447,0.366,0.102,0.129
路径4,473,0.51,0.044,0.082
路径4,500,0.422,0.038,0.08
路径5,1,0.5,0.5,0.5
路径5,27,0.518,0.425,0.436
路径5,53,0.529,0.332,0.374
路径5,79,0.558,0.198,0.36
路径5,106,0.541,0.233,0.169
路径5,132,0.506,0.216,0.172
路径5,158,0.464,0.215,0.122
路径5,184,0.286,0.186,0.176
路径5,211,0.296,0.072,0.106
路径5,237,0.206,0.044,0.199
路径5,263,0.194,0.012,0.099
路径5,289,0.224,0.004,0.054
路径5,316,0.247,0,0.072
路径5,342,0.217,0,0.035
路径5,368,0.337,0,0.01
路径5,394,0.37,0,0
路径5,421,0.357,0,0
路径5,447,0.333,0,0
路径5,473,0.377,0,0
路径5,500,0.328,0,0
路径6,1,0.5,0.5,0.5
路径6,27,0.517,0.486,0.533
路径6,53,0.374,0.51,0.489
路径6,79,0.28,0.446,0.373
路径6,106,0.095,0.49,0.289
路径6,132,0.116,0.496,0.285
路径6,158,0.027,0.386,0.203
路径6,184,0.076,0.346,0.108
路径6,211,0.064,0.392,0.041
路径6,237,0.057,0.26,0.094
路径6,263,0.045,0.276,0.088
路径6,289,0.062,0.163,0.058
路径6,316,0.019,0.037,0.01
路径6,342,0.033,0.059,0
路径6,368,0.012,0.007,0
路径6,394,0,0,0
路径6,421,0,0,0
路径6,447,0,0,0
路径6,473,0,0,0
路径6,500,0,0,0
路径7,1,0.5,0.5,0.5
路径7,27,0.524,0.501,0.432
路径7,53,0.517,0.33,0.223
路径7,79,0.399,0.257,0.144
路径7,106,0.454,0.193,0.151
路径7,132,0.449,0.169,0.244
路径7,158,0.427,0.063,0.249
路径7,184,0.3,0.005,0.171
路径7,211,0.197,0,0.141
路径7,237,0.245,0,0.33
路径7,263,0.231,0,0.316
路径7,289,0.353,0,0.178
路径7,316,0.365,0,0.081
路径7,342,0.493,0,0.022
路径7,368,0.468,0,0.031
路径7,394,0.364,0,0.049
路径7,421,0.339,0,0.031
路径7,447,0.271,0,0
路径7,473,0.365,0,0
路径7,500,0.329,0,0
路径8,1,0.5,0.5,0.5
路径8,27,0.615,0.417,0.398
路径8,53,0.58,0.387,0.377
路径8,79,0.452,0.255,0.353
路径8,106,0.352,0.281,0.265
路径8,132,0.288,0.244,0.27
路径8,158,0.285,0.144,0.141
路径8,184,0.184,0.171,0.02
路径8,211,0.109,0.073,0.039
路径8,237,0.054,0.057,0.022
路径8,263,0.043,0.031,0.02
路径8,289,0.05,0.013,0
路径8,316,0.032,0.02,0
路径8,342,0.001,0,0
路径8,368,0,0,0
路径8,394,0,0,0
路径8,421,0,0,0
路径8,447,0,0,0
路径8,473,0,0,0
路径8,500,0,0,0
路径9,1,0.5,0.5,0.5
路径9,27,0.495,0.39,0.462
路径9,53,0.471,0.338,0.379
路径9,79,0.487,0.241,0.246
路径9,106,0.462,0.251,0.171
路径9,132,0.477,0.158,0.076
路径9,158,0.328,0.065,0.055
路径9,184,0.379,0.065,0.14
路径9,211,0.413,0.03,0.112
路径9,237,0.344,0.049,0.06
路径9,263,0.486,0.039,0.032
路径9,289,0.569,0.1,0.027
路径9,316,0.524,0.058,0.003
路径9,342,0.52,0.024,0.003
路径9,368,0.525,0.041,0
路径9,394,0.482,0.1,0
路径9,421,0.453,0.032,0
路径9,447,0.453,0.01,0
路径9,473,0.419,0,0
路径9,500,0.277,0,0
路径10,1,0.5,0.5,0.5
路径10,27,0.502,0.276,0.358
路径10,53,0.346,0.156,0.307
路径10,79,0.404,0.099,0.286
路径10,106,0.323,0.099,0.274
路径10,132,0.318,0.013,0.157
路径10,158,0.244,0.004,0.201
路径10,184,0.151,0,0.166
路径10,211,0.146,0,0.17
路径10,237,0.229,0,0.163
路径10,263,0.194,0,0.176
路径10,289,0.186,0,0.081
路径10,316,0.266,0,0.056
路径10,342,0.374,0,0.075
路径10,368,0.303,0,0.071
路径10,394,0.277,0,0.014
路径10,421,0.308,0,0.055
路径10,447,0.28,0,0.089
路径10,473,0.356,0,0.077
路径10,500,0.315,0,0.029
路径11,1,0.5,0.5,0.5
路径11,27,0.495,0.386,0.464
路径11,53,0.591,0.296,0.361
路径11,79,0.607,0.314,0.374
路径11,106,0.602,0.187,0.344
路径11,132,0.461,0.19,0.328
路径11,158,0.524,0.151,0.191
路径11,184,0.63,0.092,0.173
路径11,211,0.672,0.108,0.265
路径11,237,0.649,0.068,0.319
路径11,263,0.504,0.093,0.29
路径11,289,0.585,0.13,0.278
路径11,316,0.568,0.13,0.342
路径11,342,0.672,0.155,0.259
路径11,368,0.636,0.081,0.291
路径11,394,0.601,0.128,0.339
路径11,421,0.356,0.036,0.403
路径11,447,0.315,0.015,0.332
路径11,473,0.292,0.016,0.495
路径11,500,0.287,0.046,0.246
路径12,1,0.5,0.5,0.5
路径12,27,0.494,0.437,0.34
路径12,53,0.459,0.375,0.233
路径12,79,0.5,0.299,0.253
路径12,106,0.423,0.341,0.117
路径12,132,0.384,0.424,0.042
路径12,158,0.308,0.349,0
路径12,184,0.204,0.271,0
路径12,211,0.277,0.264,0
路径12,237,0.287,0.218,0
路径12,263,0.332,0.229,0
路径12,289,0.233,0.266,0
路径12,316,0.238,0.19,0
路径12,342,0.166,0.234,0
路径12,368,0.089,0.129,0
路径12,394,0.051,0.14,0
路径12,421,0.035,0.192,0
路径12,447,0.056,0.151,0
路径12,473,0.055,0.248,0
路径12,500,0.045,0.164,0
路径13,1,0.5,0.5,0.5
路径13,27,0.488,0.406,0.366
路径13,53,0.396,0.332,0.235
路径13,79,0.39,0.356,0.154
路径13,106,0.373,0.273,0.167
路径13,132,0.345,0.32,0.048
路径13,158,0.363,0.261,0.011
路径13,184,0.424,0.237,0
路径13,211,0.327,0.156,0
路径13,237,0.209,0.145,0
路径13,263,0.239,0.101,0
路径13,289,0.299,0.103,0
路径13,316,0.275,0.019,0
路径13,342,0.286,0.007,0
路径13,368,0.282,0,0
路径13,394,0.391,0,0
路径13,421,0.27,0,0
路径13,447,0.207,0,0
路径13,473,0.206,0,0
路径13,500,0.169,0,0
路径14,1,0.5,0.5,0.5
路径14,27,0.361,0.316,0.31
路径14,53,0.274,0.237,0.221
路径14,79,0.332,0.274,0.167
路径14,106,0.293,0.268,0.117
路径14,132,0.321,0.22,0.072
路径14,158,0.331,0.172,0.078
路径14,184,0.524,0.132,0.043
路径14,211,0.496,0.051,0
路径14,237,0.524,0.008,0
路径14,263,0.474,0.019,0
路径14,289,0.337,0,0
路径14,316,0.382,0,0
路径14,342,0.258,0,0
路径14,368,0.19,0,0
路径14,394,0.151,0,0
路径14,421,0.227,0,0
路径14,447,0.279,0,0
路径14,473,0.219,0,0
路径14,500,0.25,0,0
路径15,1,0.5,0.5,0.5
路径15,27,0.476,0.415,0.348
路径15,53,0.287,0.298,0.294
路径15,79,0.186,0.191,0.235
路径15,106,0.165,0.117,0.114
路径15,132,0.235,0.117,0.11
路径15,158,0.222,0.098,0.092
路径15,184,0.103,0.059,0.103
路径15,211,0.066,0.08,0.052
路径15,237,0.028,0.121,0.049
路径15,263,0.012,0.195,0.049
路径15,289,0.011,0.029,0.011
路径15,316,0,0.003,0
路径15,342,0,0,0
路径15,368,0,0,0
路径15,394,0,0,0
路径15,421,0,0,0
路径15,447,0,0,0
路径15,473,0,0,0
路径15,500,0,0,0
路径16,1,0.5,0.5,0.5
路径16,27,0.468,0.447,0.572
路径16,53,0.444,0.421,0.44
路径16,79,0.465,0.426,0.393
路径16,106,0.361,0.438,0.45
路径16,132,0.197,0.377,0.379
路径16,158,0.225,0.254,0.309
路径16,184,0.199,0.181,0.2
路径16,211,0.104,0.087,0.197
路径16,237,0.052,0.086,0.137
路径16,263,0.019,0.098,0.074
路径16,289,0,0.115,0.128
路径16,316,0,0.111,0.203
路径16,342,0,0.079,0.22
路径16,368,0,0.067,0.17
路径16,394,0,0.082,0.207
路径16,421,0,0.134,0.081
路径16,447,0,0.08,0.009
路径16,473,0,0.059,0
路径16,500,0,0.074,0
路径17,1,0.5,0.5,0.5
路径17,27,0.476,0.446,0.291
路径17,53,0.586,0.324,0.206
路径17,79,0.588,0.165,0.168
路径17,106,0.499,0.026,0.043
路径17,132,0.629,0.026,0.125
路径17,158,0.636,0.006,0.164
路径17,184,0.631,0,0.207
路径17,211,0.645,0,0.091
路径17,237,0.785,0,0.095
路径17,263,0.79,0,0.103
路径17,289,0.773,0,0.092
路径17,316,0.82,0,0.057
路径17,342,0.795,0,0.006
路径17,368,0.762,0,0
路径17,394,0.808,0,0
路径17,421,0.721,0,0
路径17,447,0.738,0,0
路径17,473,0.776,0,0
路径17,500,0.778,0,0
路径18,1,0.5,0.5,0.5
路径18,27,0.443,0.574,0.502
路径18,53,0.266,0.415,0.455
路径18,79,0.32,0.176,0.326
路径18,106,0.387,0.071,0.288
路径18,132,0.415,0.062,0.274
路径18,158,0.356,0.06,0.215
路径18,184,0.409,0.1,0.064
路径18,211,0.348,0.015,0.052
路径18,237,0.392,0,0.012
路径18,263,0.268,0,0
路径18,289,0.259,0,0
路径18,316,0.287,0,0
路径18,342,0.373,0,0
路径18,368,0.31,0,0
路径18,394,0.383,0,0
路径18,421,0.278,0,0
路径18,447,0.22,0,0
路径18,473,0.146,0,0
路径18,500,0.129,0,0
路径19,1,0.5,0.5,0.5
路径19,27,0.542,0.373,0.362
路径19,53,0.515,0.279,0.448
路径19,79,0.46,0.239,0.343
路径19,106,0.502,0.232,0.214
路径19,132,0.437,0.279,0.17
路径19,158,0.407,0.207,0.177
路径19,184,0.367,0.167,0.144
路径19,211,0.444,0.201,0.177
路径19,237,0.404,0.161,0.067
路径19,263,0.465,0.055,0.09
路径19,289,0.388,0.005,0.057
路径19,316,0.257,0,0.023
路径19,342,0.224,0,0.007
路径19,368,0.193,0,0
路径19,394,0.127,0,0
路径19,421,0.113,0,0
路径19,447,0.04,0,0
路径19,473,0.026,0,0
路径19,500,0.008,0,0
路径20,1,0.5,0.5,0.5
路径20,27,0.355,0.425,0.496
路径20,53,0.347,0.386,0.396
路径20,79,0.33,0.289,0.358
路径20,106,0.184,0.238,0.275
路径20,132,0.201,0.274,0.276
路径20,158,0.136,0.282,0.216
路径20,184,0.071,0.301,0.117
路径20,211,0,0.311,0.053
路径20,237,0,0.337,0.042
路径20,263,0,0.331,0.054
路径20,289,0,0.338,0.157
路径20,316,0,0.187,0.194
路径20,342,0,0.107,0.203
路径20,368,0,0.059,0.138
路径20,394,0,0.074,0.112
路径20,421,0,0.09,0.088
路径20,447,0,0.043,0.042
路径20,473,0,0.036,0
路径20,500,0,0,0
