路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.415,0.513,0.382
路径1,53,0.309,0.412,0.387
路径1,79,0.205,0.455,0.334
路径1,106,0.115,0.614,0.251
路径1,132,0.145,0.588,0.194
路径1,158,0.18,0.627,0.291
路径1,184,0.039,0.543,0.291
路径1,211,0.003,0.241,0.19
路径1,237,0.001,0.244,0.064
路径1,263,0,0.169,0.059
路径1,289,0,0.153,0.029
路径1,316,0,0.084,0.013
路径1,342,0,0.046,0.006
路径1,368,0,0.008,0.004
路径1,394,0,0,0
路径1,421,0,0,0
路径1,447,0,0,0
路径1,473,0,0,0
路径1,500,0,0,0
路径2,1,0.5,0.5,0.5
路径2,27,0.508,0.367,0.455
路径2,53,0.536,0.193,0.471
路径2,79,0.369,0.119,0.434
路径2,106,0.439,0.093,0.419
路径2,132,0.435,0.163,0.429
路径2,158,0.323,0.105,0.395
路径2,184,0.297,0.089,0.352
路径2,211,0.247,0.099,0.456
路径2,237,0.347,0.025,0.236
路径2,263,0.273,0.002,0.112
路径2,289,0.254,0.032,0.174
路径2,316,0.353,0.052,0.127
路径2,342,0.471,0.013,0.075
路径2,368,0.622,0,0.078
路径2,394,0.54,0,0.049
路径2,421,0.641,0,0.039
路径2,447,0.636,0,0.03
路径2,473,0.619,0,0.083
路径2,500,0.722,0,0.097
路径3,1,0.5,0.5,0.5
路径3,27,0.497,0.414,0.459
路径3,53,0.448,0.319,0.326
路径3,79,0.473,0.248,0.321
路径3,106,0.449,0.231,0.219
路径3,132,0.453,0.147,0.194
路径3,158,0.465,0.042,0.123
路径3,184,0.671,0.034,0.078
路径3,211,0.775,0,0.052
路径3,237,0.755,0,0.01
路径3,263,0.87,0,0.006
路径3,289,0.826,0,0
路径3,316,0.918,0,0
路径3,342,0.846,0,0
路径3,368,0.852,0,0
路径3,394,0.885,0,0
路径3,421,0.925,0,0
路径3,447,0.895,0,0
路径3,473,0.875,0,0
路径3,500,0.896,0,0
路径4,1,0.5,0.5,0.5
路径4,27,0.418,0.436,0.483
路径4,53,0.329,0.353,0.314
路径4,79,0.382,0.349,0.301
路径4,106,0.299,0.144,0.254
路径4,132,0.166,0.216,0.144
路径4,158,0.147,0.166,0.127
路径4,184,0.034,0.143,0.083
路径4,211,0.002,0.097,0.064
路径4,237,0,0.075,0.079
路径4,263,0,0.058,0.05
路径4,289,0,0.087,0.082
路径4,316,0,0.081,0.041
路径4,342,0,0.02,0.011
路径4,368,0,0.014,0.025
路径4,394,0,0.017,0.022
路径4,421,0,0.009,0.085
路径4,447,0,0,0.096
路径4,473,0,0,0.033
路径4,500,0,0,0.037
路径5,1,0.5,0.5,0.5
路径5,27,0.49,0.482,0.455
路径5,53,0.521,0.343,0.369
路径5,79,0.502,0.319,0.35
路径5,106,0.492,0.224,0.381
路径5,132,0.475,0.135,0.341
路径5,158,0.431,0.129,0.242
路径5,184,0.458,0.117,0.271
路径5,211,0.414,0.117,0.21
路径5,237,0.249,0.038,0.222
路径5,263,0.23,0.034,0.147
路径5,289,0.318,0.044,0.118
路径5,316,0.203,0.002,0.137
路径5,342,0.218,0.003,0.116
路径5,368,0.381,0,0.036
路径5,394,0.462,0,0.054
路径5,421,0.458,0,0.083
路径5,447,0.422,0,0.028
路径5,473,0.386,0,0.021
路径5,500,0.463,0,0.01
路径6,1,0.5,0.5,0.5
路径6,27,0.444,0.462,0.421
路径6,53,0.481,0.572,0.235
路径6,79,0.536,0.528,0.199
路径6,106,0.518,0.315,0.174
路径6,132,0.489,0.235,0.102
路径6,158,0.445,0.231,0.089
路径6,184,0.386,0.205,0.034
路径6,211,0.179,0.148,0.025
路径6,237,0.166,0.055,0.002
路径6,263,0.075,0.03,0
路径6,289,0.05,0.017,0
路径6,316,0.005,0.008,0
路径6,342,0,0.006,0
路径6,368,0,0.022,0
路径6,394,0,0,0
路径6,421,0,0,0
路径6,447,0,0,0
路径6,473,0,0,0
路径6,500,0,0,0
路径7,1,0.5,0.5,0.5
路径7,27,0.479,0.401,0.451
路径7,53,0.51,0.339,0.343
路径7,79,0.504,0.242,0.391
路径7,106,0.438,0.134,0.371
路径7,132,0.383,0.089,0.373
路径7,158,0.565,0.066,0.342
路径7,184,0.597,0.077,0.389
路径7,211,0.52,0.009,0.277
路径7,237,0.582,0,0.16
路径7,263,0.567,0,0.115
路径7,289,0.625,0,0.132
路径7,316,0.705,0,0.154
路径7,342,0.711,0,0.119
路径7,368,0.548,0,0.153
路径7,394,0.561,0,0.149
路径7,421,0.595,0,0.076
路径7,447,0.647,0,0.081
路径7,473,0.583,0,0.015
路径7,500,0.549,0,0
路径8,1,0.5,0.5,0.5
路径8,27,0.448,0.505,0.393
路径8,53,0.542,0.432,0.418
路径8,79,0.423,0.238,0.568
路径8,106,0.464,0.356,0.628
路径8,132,0.366,0.338,0.634
路径8,158,0.389,0.317,0.566
路径8,184,0.377,0.351,0.466
路径8,211,0.252,0.274,0.228
路径8,237,0.131,0.281,0.176
路径8,263,0.191,0.186,0.187
路径8,289,0.129,0.132,0.18
路径8,316,0.098,0.087,0.175
路径8,342,0.19,0.046,0.079
路径8,368,0.154,0.045,0.081
路径8,394,0.271,0.051,0.017
路径8,421,0.286,0.063,0
路径8,447,0.235,0.035,0
路径8,473,0.227,0.002,0
路径8,500,0.142,0,0
路径9,1,0.5,0.5,0.5
路径9,27,0.497,0.572,0.388
路径9,53,0.319,0.417,0.336
路径9,79,0.391,0.338,0.233
路径9,106,0.394,0.165,0.168
路径9,132,0.334,0.073,0.091
路径9,158,0.407,0.038,0.086
路径9,184,0.325,0.061,0.092
路径9,211,0.3,0.027,0.034
路径9,237,0.397,0.072,0.042
路径9,263,0.399,0.028,0.095
路径9,289,0.301,0.005,0.028
路径9,316,0.427,0.02,0.024
路径9,342,0.385,0.002,0
路径9,368,0.387,0,0
路径9,394,0.347,0,0
路径9,421,0.371,0,0
路径9,447,0.515,0,0
路径9,473,0.616,0,0
路径9,500,0.566,0,0
路径10,1,0.5,0.5,0.5
路径10,27,0.506,0.329,0.425
路径10,53,0.516,0.316,0.475
路径10,79,0.636,0.245,0.406
路径10,106,0.772,0.144,0.389
路径10,132,0.855,0.171,0.314
路径10,158,0.823,0.195,0.38
路径10,184,0.863,0.176,0.283
路径10,211,0.85,0.176,0.198
路径10,237,0.813,0.146,0.251
路径10,263,0.684,0.208,0.198
路径10,289,0.645,0.252,0.337
路径10,316,0.413,0.208,0.284
路径10,342,0.41,0.061,0.348
路径10,368,0.398,0.051,0.337
路径10,394,0.421,0.01,0.438
路径10,421,0.485,0,0.211
路径10,447,0.483,0,0.198
路径10,473,0.492,0,0.26
路径10,500,0.67,0,0.119
路径11,1,0.5,0.5,0.5
路径11,27,0.435,0.37,0.25
路径11,53,0.275,0.348,0.141
路径11,79,0.312,0.294,0.231
路径11,106,0.253,0.161,0.146
路径11,132,0.229,0.166,0.189
路径11,158,0.172,0.174,0.17
路径11,184,0.255,0.184,0.082
路径11,211,0.31,0.092,0.009
路径11,237,0.368,0.027,0
路径11,263,0.335,0.014,0
路径11,289,0.415,0.02,0
路径11,316,0.392,0,0
路径11,342,0.392,0,0
路径11,368,0.277,0,0
路径11,394,0.345,0,0
路径11,421,0.322,0,0
路径11,447,0.269,0,0
路径11,473,0.22,0,0
路径11,500,0.192,0,0
路径12,1,0.5,0.5,0.5
路径12,27,0.53,0.391,0.426
路径12,53,0.5,0.518,0.323
路径12,79,0.471,0.424,0.303
路径12,106,0.481,0.396,0.268
路径12,132,0.425,0.273,0.287
路径12,158,0.414,0.176,0.228
路径12,184,0.354,0.102,0.24
路径12,211,0.418,0.037,0.312
路径12,237,0.481,0.125,0.233
路径12,263,0.463,0.149,0.311
路径12,289,0.476,0.134,0.312
路径12,316,0.514,0.053,0.206
