路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.493,0.441,0.417
路径1,53,0.377,0.271,0.249
路径1,79,0.33,0.215,0.195
路径1,106,0.478,0.186,0.154
路径1,132,0.461,0.178,0.199
路径1,158,0.402,0.164,0.12
路径1,184,0.304,0.156,0.031
路径1,211,0.284,0.157,0.066
路径1,237,0.385,0.223,0.043
路径1,263,0.265,0.178,0.034
路径1,289,0.13,0.106,0
路径1,316,0.115,0.069,0
路径1,342,0.066,0.046,0
路径1,368,0.107,0.023,0
路径1,394,0.101,0,0
路径1,421,0.091,0,0
路径1,447,0.246,0,0
路径1,473,0.175,0,0
路径1,500,0.125,0,0
路径2,1,0.5,0.5,0.5
路径2,27,0.525,0.362,0.498
路径2,53,0.5,0.559,0.453
路径2,79,0.692,0.577,0.568
路径2,106,0.558,0.61,0.502
路径2,132,0.617,0.546,0.566
路径2,158,0.607,0.712,0.371
路径2,184,0.452,0.52,0.192
路径2,211,0.487,0.507,0.173
路径2,237,0.434,0.402,0.104
路径2,263,0.26,0.47,0.049
路径2,289,0.22,0.371,0.07
路径2,316,0.337,0.274,0
路径2,342,0.314,0.184,0
路径2,368,0.268,0.046,0
路径2,394,0.301,0,0
路径2,421,0.341,0,0
路径2,447,0.345,0,0
路径2,473,0.368,0,0
路径2,500,0.444,0,0
路径3,1,0.5,0.5,0.5
路径3,27,0.515,0.561,0.355
路径3,53,0.429,0.454,0.18
路径3,79,0.453,0.391,0.128
路径3,106,0.368,0.28,0.107
路径3,132,0.365,0.152,0.132
路径3,158,0.425,0.149,0.049
路径3,184,0.399,0.138,0.047
路径3,211,0.447,0.114,0
路径3,237,0.455,0.136,0
路径3,263,0.446,0.084,0
路径3,289,0.407,0.083,0
路径3,316,0.394,0.102,0
路径3,342,0.267,0.061,0
路径3,368,0.282,0.051,0
路径3,394,0.304,0.063,0
路径3,421,0.453,0.017,0
路径3,447,0.442,0.016,0
路径3,473,0.283,0.006,0
路径3,500,0.209,0.015,0
路径4,1,0.5,0.5,0.5
路径4,27,0.52,0.492,0.505
路径4,53,0.485,0.508,0.363
路径4,79,0.68,0.321,0.35
路径4,106,0.669,0.45,0.324
路径4,132,0.559,0.295,0.357
路径4,158,0.462,0.338,0.346
路径4,184,0.514,0.328,0.297
路径4,211,0.496,0.198,0.365
路径4,237,0.461,0.05,0.389
路径4,263,0.327,0.144,0.446
路径4,289,0.361,0.142,0.368
路径4,316,0.414,0.182,0.282
路径4,342,0.433,0.205,0.262
