路径（20条）,轮次,α,β,γ
路径1,1,0.5,0.5,0.5
路径1,27,0.488,0.51,0.321
路径1,53,0.381,0.476,0.342
路径1,79,0.341,0.439,0.429
路径1,106,0.279,0.317,0.33
路径1,132,0.234,0.197,0.255
路径1,158,0.167,0.139,0.171
路径1,184,0.248,0.258,0.148
路径1,211,0.167,0.16,0.175
路径1,237,0.19,0.106,0.224
路径1,263,0.259,0.093,0.153
路径1,289,0.295,0.078,0.214
路径1,316,0.473,0.049,0.193
路径1,342,0.451,0,0.15
路径1,368,0.304,0,0.124
路径1,394,0.292,0,0.029
路径1,421,0.216,0,0.069
路径1,447,0.092,0,0.027
路径1,473,0.092,0,0.017
路径1,500,0.161,0,0
路径2,1,0.5,0.5,0.5
路径2,27,0.361,0.392,0.353
路径2,53,0.343,0.339,0.202
路径2,79,0.273,0.209,0.181
路径2,106,0.182,0.13,0.165
路径2,132,0.201,0.093,0.086
路径2,158,0.271,0.091,0.131
路径2,184,0.187,0.04,0.091
路径2,211,0.08,0.02,0.096
路径2,237,0.141,0.017,0.048
路径2,263,0.045,0,0.005
路径2,289,0.064,0,0
路径2,316,0.054,0,0
路径2,342,0,0,0
路径2,368,0,0,0
路径2,394,0,0,0
路径2,421,0,0,0
路径2,447,0,0,0
路径2,473,0,0,0
路径2,500,0,0,0
路径3,1,0.5,0.5,0.5
路径3,27,0.429,0.305,0.467
路径3,53,0.584,0.227,0.467
路径3,79,0.557,0.172,0.258
路径3,106,0.433,0.07,0.103
路径3,132,0.293,0.067,0.03
路径3,158,0.366,0.065,0.052
路径3,184,0.344,0.063,0.04
路径3,211,0.237,0.065,0.043
路径3,237,0.14,0.056,0.071
路径3,263,0.183,0.086,0.017
路径3,289,0.179,0.076,0.029
路径3,316,0.281,0.023,0.078
路径3,342,0.338,0,0.017
路径3,368,0.211,0,0.016
路径3,394,0.188,0,0.022
路径3,421,0.227,0,0.01
路径3,447,0.286,0,0
路径3,473,0.333,0,0
路径3,500,0.431,0,0
路径4,1,0.5,0.5,0.5
路径4,27,0.47,0.437,0.427
路径4,53,0.595,0.376,0.363
路径4,79,0.606,0.347,0.364
路径4,106,0.486,0.255,0.292
路径4,132,0.398,0.226,0.202
路径4,158,0.585,0.121,0.161
路径4,184,0.552,0.099,0.152
路径4,211,0.579,0.082,0.162
路径4,237,0.444,0.042,0.107
路径4,263,0.45,0.022,0.156
路径4,289,0.533,0.024,0.069
路径4,316,0.586,0,0.062
路径4,342,0.558,0,0.023
路径4,368,0.526,0,0.002
路径4,394,0.522,0,0
路径4,421,0.489,0,0
路径4,447,0.669,0,0
路径4,473,0.749,0,0
路径4,500,0.688,0,0
路径5,1,0.5,0.5,0.5
路径5,27,0.52,0.586,0.527
路径5,53,0.656,0.407,0.452
路径5,79,0.493,0.37,0.409
路径5,106,0.596,0.228,0.36
路径5,132,0.66,0.161,0.311
路径5,158,0.657,0.123,0.304
路径5,184,0.561,0.073,0.104
路径5,211,0.613,0.067,0.111
路径5,237,0.635,0.086,0.115
路径5,263,0.516,0.096,0.224
路径5,289,0.499,0.044,0.216
路径5,316,0.512,0.073,0.129
路径5,342,0.35,0.05,0.101
路径5,368,0.287,0.025,0.034
路径5,394,0.193,0.012,0.01
路径5,421,0.13,0,0
路径5,447,0.135,0,0
路径5,473,0.108,0,0
路径5,500,0.146,0,0
路径6,1,0.5,0.5,0.5
路径6,27,0.483,0.347,0.461
路径6,53,0.375,0.407,0.354
路径6,79,0.338,0.311,0.209
路径6,106,0.386,0.163,0.195
路径6,132,0.391,0.223,0.153
路径6,158,0.416,0.102,0.08
路径6,184,0.358,0.052,0.04
路径6,211,0.364,0.036,0
路径6,237,0.317,0.007,0
路径6,263,0.362,0,0
路径6,289,0.474,0,0
路径6,316,0.495,0,0
路径6,342,0.557,0,0
路径6,368,0.507,0,0
路径6,394,0.501,0,0
路径6,421,0.612,0,0
路径6,447,0.712,0,0
路径6,473,0.608,0,0
路径6,500,0.485,0,0
路径7,1,0.5,0.5,0.5
路径7,27,0.393,0.604,0.39
路径7,53,0.272,0.572,0.322
路径7,79,0.246,0.506,0.236
路径7,106,0.31,0.585,0.291
路径7,132,0.299,0.475,0.17
路径7,158,0.26,0.354,0.152
路径7,184,0.169,0.333,0.086
路径7,211,0.089,0.209,0.057
路径7,237,0.123,0.055,0.046
路径7,263,0.105,0.017,0.048
路径7,289,0.091,0.013,0.074
路径7,316,0.199,0,0.085
路径7,342,0.249,0,0.038
路径7,368,0.297,0,0.012
路径7,394,0.302,0,0.034
路径7,421,0.344,0,0.012
路径7,447,0.318,0,0.03
路径7,473,0.259,0,0.027
路径7,500,0.231,0,0
路径8,1,0.5,0.5,0.5
路径8,27,0.441,0.612,0.408
路径8,53,0.494,0.652,0.321
路径8,79,0.487,0.582,0.268
路径8,106,0.5,0.496,0.174
路径8,132,0.489,0.335,0.114
路径8,158,0.335,0.322,0.143
路径8,184,0.297,0.199,0.081
路径8,211,0.36,0.102,0.087
路径8,237,0.145,0.063,0.049
